order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,expected_delivery_time,delivery_partner_id
1,202,93,Dal Makhani,2024-03-29 16:36:44,2024-03-29 17:45:44,Cancelled,354.69,2,"93
Char Zila
Bangalore 678819",2024-03-29 16:58:44,370
2,109,292,Tandoori Chicken,2024-02-25 15:05:32,2024-02-25 17:02:32,Successful,367.28,4,"80
Chad Path
Salem 397102",2024-02-25 15:29:32,317
3,201,151,Paneer Tikka,2024-02-09 22:14:24,2024-02-09 23:27:24,Cancelled,720.84,1,"03
Trivedi Marg, Bihar Sharif-004998",2024-02-09 22:51:24,298
4,119,119,Dosa,2024-07-30 22:43:42,2024-07-31 00:06:42,Successful,692.54,2,"307
Bassi Nagar
Dewas-020122",2024-07-30 23:22:42,147
5,180,94,Tandoori Chicken,2024-07-21 05:52:48,2024-07-21 06:38:48,Successful,105.2,2,"410, Shanker Path
Deoghar-519687",2024-07-21 06:22:48,280
6,232,289,Aloo Paratha,2024-01-07 11:05:17,2024-01-07 12:24:17,Successful,866.5,3,"42/07, Sidhu Circle
Medininagar-476025",2024-01-07 11:45:17,199
7,140,249,Dal Makhani,2024-06-21 19:10:27,2024-06-21 21:00:27,Successful,319.84,2,"40/42
Bath Chowk
Barasat-493002",2024-06-21 19:33:27,14
8,73,122,Samosa,2024-04-10 17:21:23,2024-04-10 18:42:23,Successful,338.65,3,"H.No. 779, Bhattacharyya Circle
Madurai 329728",2024-04-10 17:42:23,32
9,446,17,Pav Bhaji,2024-07-13 11:39:20,2024-07-13 13:30:20,Successful,948.97,3,"31/753, Chaudhry Ganj
Bilaspur-465234",2024-07-13 12:01:20,220
10,191,243,Dal Makhani,2024-04-25 05:37:24,2024-04-25 07:33:24,Successful,955.99,1,"H.No. 25
Raju Nagar
Pali-251696",2024-04-25 06:04:24,442
11,127,156,Tandoori Chicken,2024-06-28 12:58:25,2024-06-28 13:24:25,Successful,830.66,3,"H.No. 351, Chaudhari Chowk, Rourkela 016244",2024-06-28 13:35:25,241
12,474,111,Biryani,2024-06-18 01:59:06,2024-06-18 03:13:06,Successful,389.96,1,"64/93
Shukla Path
Thiruvananthapuram 078880",2024-06-18 02:31:06,145
13,311,229,Tandoori Chicken,2024-05-02 21:52:30,2024-05-02 23:06:30,Successful,520.05,1,"29, Mall Marg, Hazaribagh 882195",2024-05-02 22:31:30,185
14,8,144,Paneer Tikka,2024-03-01 04:14:54,2024-03-01 06:12:54,Successful,421.04,1,"36/926, Ram Circle, Katihar-465154",2024-03-01 04:42:54,499
15,220,148,Samosa,2024-02-07 22:28:39,2024-02-07 23:54:39,Successful,790.57,1,"H.No. 902
Barad Street
Jabalpur-186999",2024-02-07 23:00:39,191
16,273,75,Tandoori Chicken,2024-08-11 08:29:24,2024-08-11 09:17:24,Successful,281.71,5,"H.No. 07, Kurian Path
Tirunelveli-824907",2024-08-11 08:52:24,486
17,279,176,Dosa,2024-01-17 22:33:20,2024-01-17 23:21:20,Successful,185.02,2,"338, Bora Street, Ulhasnagar 824623",2024-01-17 22:56:20,336
18,356,20,Biryani,2024-08-14 20:18:40,2024-08-14 22:08:40,Successful,475.1,5,"H.No. 28
Rana Marg
Vasai-Virar 938633",2024-08-14 20:57:40,265
19,191,263,Pav Bhaji,2024-09-06 21:50:32,2024-09-06 23:32:32,Successful,782.01,4,"71, Rama, Malda 555414",2024-09-06 22:12:32,264
20,218,259,Biryani,2024-04-06 01:42:23,2024-04-06 02:36:23,Successful,183.15,5,"985, Kaul Street
Aurangabad 131205",2024-04-06 02:22:23,37
21,360,174,Tandoori Chicken,2024-04-06 17:01:34,2024-04-06 18:06:34,Successful,441.94,3,"H.No. 965
Rout Zila
Nizamabad 435469",2024-04-06 17:27:34,227
22,373,105,Dal Makhani,2024-07-02 00:36:21,2024-07-02 01:47:21,Successful,908.52,3,"91
Tata, Baranagar-192918",2024-07-02 01:03:21,179
23,400,262,Paneer Tikka,2024-06-30 22:13:58,2024-06-30 23:32:58,Successful,801.01,3,"35/040
Deo Marg, Mango 215119",2024-06-30 22:34:58,311
24,120,265,Tandoori Chicken,2024-09-16 01:36:40,2024-09-16 02:06:40,Successful,819.67,5,"H.No. 963, Ahluwalia Road
Bijapur-121810",2024-09-16 02:09:40,222
25,402,118,Samosa,2024-03-16 14:24:29,2024-03-16 15:07:29,Successful,619.37,1,"95
Dubey Ganj, Morbi 196786",2024-03-16 14:52:29,373
26,437,263,Dosa,2024-04-17 00:51:50,2024-04-17 02:41:50,Cancelled,554.5,5,"77
Apte Street, Siwan-659993",2024-04-17 01:31:50,31
27,174,162,Samosa,2024-04-04 23:44:08,2024-04-05 01:21:08,Successful,295.18,5,"29, Dixit Nagar
Rajahmundry 222982",2024-04-05 00:05:08,116
28,53,266,Butter Chicken,2024-06-25 07:03:22,2024-06-25 07:43:22,Successful,878.93,3,"139, Gala Ganj
Hazaribagh 443466",2024-06-25 07:30:22,253
29,359,33,Samosa,2024-01-30 13:40:08,2024-01-30 14:21:08,Successful,415.18,3,"H.No. 907, Chandran Path, Tezpur 154668",2024-01-30 14:13:08,182
30,262,17,Samosa,2024-08-19 23:51:08,2024-08-20 00:53:08,Successful,747.57,3,"73
Lala Nagar, Panipat-407898",2024-08-20 00:17:08,187
31,443,133,Pav Bhaji,2024-08-31 11:32:35,2024-08-31 12:23:35,Successful,928.4,3,"27/431
Sunder Street
Bhiwani 976387",2024-08-31 12:07:35,480
32,197,94,Pav Bhaji,2024-05-18 01:55:45,2024-05-18 02:44:45,Successful,490.95,2,"64, Chhabra Street, Mira-Bhayandar 950834",2024-05-18 02:19:45,493
33,188,285,Aloo Paratha,2024-04-26 18:33:42,2024-04-26 19:24:42,Successful,373.47,1,"H.No. 356
Hari Path
Kadapa-478183",2024-04-26 19:00:42,493
34,405,281,Dosa,2024-07-17 15:50:17,2024-07-17 16:51:17,Successful,548.68,2,"04
Chawla Zila, Akola-565709",2024-07-17 16:24:17,490
35,211,232,Butter Chicken,2024-08-06 09:58:35,2024-08-06 11:25:35,Successful,663.15,3,"H.No. 374
Wason Zila
Guntur-619097",2024-08-06 10:38:35,430
36,294,294,Dal Makhani,2024-02-04 05:54:51,2024-02-04 07:22:51,Successful,986.05,4,"H.No. 121, Yadav Path
Raurkela Industrial Township-568889",2024-02-04 06:32:51,104
37,11,231,Dal Makhani,2024-09-01 03:34:58,2024-09-01 04:26:58,Successful,189.54,3,"H.No. 76
Gade Nagar
Sambalpur-911497",2024-09-01 04:07:58,480
38,95,234,Chole Bhature,2024-02-29 17:57:49,2024-02-29 19:42:49,Successful,118.06,4,"22
Khare
Rajkot-868342",2024-02-29 18:19:49,231
39,429,141,Biryani,2024-04-08 11:23:52,2024-04-08 12:19:52,Successful,915.81,3,"495, Dhingra Street
Junagadh 975485",2024-04-08 11:53:52,471
40,67,35,Paneer Tikka,2024-02-29 13:14:09,2024-02-29 14:25:09,Successful,200.64,1,"81/50, Babu, Tadepalligudem-444929",2024-02-29 13:41:09,186
41,95,260,Butter Chicken,2024-01-18 13:08:06,2024-01-18 14:42:06,Successful,244.06,3,"28, Kapadia Circle, Nashik-310643",2024-01-18 13:44:06,146
42,279,112,Tandoori Chicken,2024-04-06 17:11:08,2024-04-06 18:52:08,Successful,349.54,4,"H.No. 89
Dube Circle
Sikar 145398",2024-04-06 17:37:08,70
43,85,143,Dal Makhani,2024-06-19 21:46:33,2024-06-19 22:44:33,Successful,176.32,2,"06, Seshadri Road
Kolkata 886368",2024-06-19 22:15:33,134
44,373,278,Tandoori Chicken,2024-08-15 13:04:52,2024-08-15 14:43:52,Successful,702.62,5,"725, Talwar Path, Jamalpur 040185",2024-08-15 13:37:52,172
45,403,117,Chole Bhature,2024-05-17 17:57:09,2024-05-17 18:30:09,Successful,326.15,2,"378, Kadakia Marg
Madhyamgram-439100",2024-05-17 18:17:09,3
46,362,54,Biryani,2024-02-10 21:07:33,2024-02-10 21:41:33,Successful,993.59,2,"861
Ganguly Path, Davanagere-015777",2024-02-10 21:37:33,473
47,289,285,Paneer Tikka,2024-07-02 18:25:39,2024-07-02 19:54:39,Successful,364.32,1,"92/450, Lala, Mangalore 949504",2024-07-02 19:00:39,130
48,384,20,Pav Bhaji,2024-06-01 00:49:03,2024-06-01 01:20:03,Successful,725.64,3,"83, Vig Street
Lucknow 458174",2024-06-01 01:20:03,44
49,416,250,Aloo Paratha,2024-08-18 23:42:02,2024-08-19 00:07:02,Successful,761.35,5,"74
Kari Road, Amravati-362444",2024-08-19 00:05:02,145
50,447,197,Aloo Paratha,2024-07-18 02:34:23,2024-07-18 04:22:23,Successful,145.38,2,"H.No. 27, Dixit Zila, Deoghar 045770",2024-07-18 02:57:23,499
51,270,27,Dal Makhani,2024-08-01 18:17:54,2024-08-01 20:04:54,Successful,481.98,2,"H.No. 31
Goel Nagar
Thrissur-809681",2024-08-01 18:52:54,39
52,129,156,Paneer Tikka,2024-08-01 07:55:58,2024-08-01 09:07:58,Successful,644.4,1,"H.No. 006
Dhawan Circle, Vasai-Virar-603520",2024-08-01 08:25:58,472
53,210,21,Samosa,2024-03-09 22:02:51,2024-03-09 23:12:51,Successful,785.96,1,"97/18
Sahni Nagar, Saharanpur 676791",2024-03-09 22:26:51,380
54,332,90,Paneer Tikka,2024-02-23 06:31:13,2024-02-23 07:19:13,Successful,445.02,4,"39
Dave, Gudivada-125789",2024-02-23 06:53:13,393
55,462,178,Butter Chicken,2024-01-15 08:08:13,2024-01-15 08:51:13,Successful,859.4,4,"H.No. 15, Sangha Path
Tumkur-846599",2024-01-15 08:47:13,429
56,319,58,Chole Bhature,2024-08-20 12:16:51,2024-08-20 13:37:51,Successful,422.59,1,"H.No. 98, Barman, Jodhpur-528537",2024-08-20 12:39:51,114
57,76,300,Paneer Tikka,2024-05-18 13:03:35,2024-05-18 13:35:35,Successful,130.66,3,"95
Trivedi Chowk
Haldia-460864",2024-05-18 13:27:35,62
58,394,220,Samosa,2024-01-26 02:11:10,2024-01-26 03:43:10,Successful,171.02,1,"49, Mand Marg, Agra-877766",2024-01-26 02:50:10,44
59,164,283,Pav Bhaji,2024-01-23 22:59:55,2024-01-23 23:58:55,Successful,210.85,5,"85
Rana Street, Anand-162288",2024-01-23 23:39:55,351
60,443,113,Paneer Tikka,2024-03-14 13:19:10,2024-03-14 14:19:10,Successful,774.56,4,"584, Jani Chowk
Tezpur-990382",2024-03-14 13:51:10,430
61,252,75,Dal Makhani,2024-07-27 22:10:28,2024-07-27 23:44:28,Successful,455.02,1,"95/99, Mallick Zila, Thoothukudi 206560",2024-07-27 22:39:28,58
62,112,281,Pav Bhaji,2024-03-05 23:50:53,2024-03-06 01:31:53,Successful,823.32,1,"H.No. 56
Singh Marg, New Delhi 160326",2024-03-06 00:26:53,34
63,243,17,Tandoori Chicken,2024-08-11 19:13:48,2024-08-11 19:36:48,Cancelled,890.32,4,"29/176
Mani, Erode 466836",2024-08-11 19:50:48,174
64,451,110,Paneer Tikka,2024-08-01 18:30:49,2024-08-01 19:39:49,Successful,435.93,3,"H.No. 09
Sathe Circle
Ongole 865764",2024-08-01 18:56:49,21
65,462,147,Tandoori Chicken,2024-04-04 05:52:40,2024-04-04 06:48:40,Cancelled,479.65,1,"63/99, Gulati Zila, Korba 694819",2024-04-04 06:26:40,318
66,107,201,Paneer Tikka,2024-03-12 06:10:31,2024-03-12 06:48:31,Successful,265.83,1,"60/35, Gala Road, Bhagalpur 106464",2024-03-12 06:35:31,497
67,118,107,Aloo Paratha,2024-04-23 02:43:22,2024-04-23 04:10:22,Cancelled,360.87,3,"H.No. 88, Thakur Path, Kota 516683",2024-04-23 03:05:22,397
68,399,289,Pav Bhaji,2024-04-04 10:49:58,2024-04-04 12:42:58,Successful,309.62,5,"31/76, Arya Circle
Kharagpur 076589",2024-04-04 11:20:58,103
69,129,121,Pav Bhaji,2024-05-18 14:16:14,2024-05-18 16:00:14,Successful,347.87,3,"H.No. 913
Grover Nagar
Sri Ganganagar-626236",2024-05-18 14:38:14,490
70,151,134,Aloo Paratha,2024-07-06 10:25:11,2024-07-06 11:38:11,Successful,106.26,1,"76, Goel Chowk
Nangloi Jat-234448",2024-07-06 11:03:11,96
71,215,258,Aloo Paratha,2024-01-20 17:40:13,2024-01-20 18:39:13,Successful,257.57,5,"H.No. 062, Dugal
Berhampore 898633",2024-01-20 18:13:13,397
72,402,18,Paneer Tikka,2024-04-20 17:05:20,2024-04-20 18:05:20,Successful,147.82,3,"37/92, Karan Nagar
Miryalaguda 415274",2024-04-20 17:37:20,286
73,279,228,Butter Chicken,2024-06-22 20:52:53,2024-06-22 21:50:53,Successful,666.47,1,"H.No. 07, Dara Marg
Anantapur-760953",2024-06-22 21:14:53,187
74,156,91,Chole Bhature,2024-07-17 16:18:36,2024-07-17 18:10:36,Successful,917.61,3,"H.No. 87, Rajan Nagar
Pune 644457",2024-07-17 16:41:36,415
75,350,45,Aloo Paratha,2024-08-24 18:22:39,2024-08-24 18:45:39,Successful,243.01,1,"46, Ganguly Nagar, Madurai 304373",2024-08-24 18:54:39,483
76,221,134,Tandoori Chicken,2024-06-27 18:49:15,2024-06-27 20:36:15,Successful,712.45,2,"006, Bahri Road, Guwahati-623159",2024-06-27 19:23:15,265
77,459,43,Paneer Tikka,2024-02-26 04:22:04,2024-02-26 05:13:04,Successful,456.23,5,"H.No. 986, Jhaveri Nagar, Bulandshahr-700212",2024-02-26 05:01:04,351
78,372,152,Pav Bhaji,2024-03-08 01:34:27,2024-03-08 03:22:27,Successful,367.01,4,"66/64, Trivedi Nagar
Sirsa 509583",2024-03-08 02:13:27,147
79,125,49,Biryani,2024-02-17 16:43:46,2024-02-17 17:26:46,Successful,820.48,1,"73
Chakraborty Zila, Naihati-795721",2024-02-17 17:21:46,112
80,258,233,Aloo Paratha,2024-02-19 03:58:47,2024-02-19 05:02:47,Successful,315.45,3,"192
Wable Circle, Alwar-348499",2024-02-19 04:35:47,93
81,485,176,Biryani,2024-05-04 20:46:19,2024-05-04 21:33:19,Successful,563.07,3,"H.No. 42
Bakshi Nagar, Gandhinagar 236513",2024-05-04 21:11:19,401
82,129,227,Chole Bhature,2024-08-30 04:05:39,2024-08-30 05:09:39,Successful,865.04,2,"H.No. 574
Savant, Bokaro-971373",2024-08-30 04:41:39,279
83,194,247,Dal Makhani,2024-03-24 22:04:47,2024-03-24 23:10:47,Successful,688.87,4,"97
Dara
Hapur-839580",2024-03-24 22:44:47,445
84,379,182,Dal Makhani,2024-03-26 23:33:08,2024-03-27 01:23:08,Successful,982.51,2,"35/36
Ghose Street
Ujjain-877688",2024-03-27 00:06:08,150
85,381,298,Aloo Paratha,2024-06-12 13:45:57,2024-06-12 14:45:57,Successful,574.05,5,"19/687
Chaudhari Ganj
Belgaum-666998",2024-06-12 14:10:57,190
86,225,276,Dosa,2024-01-14 06:59:40,2024-01-14 08:43:40,Successful,622.86,4,"80/61
Rama Zila, Kakinada 091861",2024-01-14 07:35:40,476
87,474,100,Pav Bhaji,2024-03-22 15:16:23,2024-03-22 16:39:23,Successful,279.56,5,"073
Talwar Ganj
Panipat-188523",2024-03-22 15:51:23,248
88,78,254,Aloo Paratha,2024-01-09 07:32:09,2024-01-09 09:01:09,Successful,424.88,2,"10, Bal Ganj
Phusro-992524",2024-01-09 07:59:09,152
89,112,103,Dosa,2024-08-04 09:03:28,2024-08-04 10:01:28,Successful,549.72,3,"H.No. 81
Kota Chowk, Allahabad-244115",2024-08-04 09:35:28,243
90,472,277,Dal Makhani,2024-08-25 23:26:01,2024-08-26 01:24:01,Successful,758.33,4,"H.No. 696, Jha, Coimbatore 714865",2024-08-25 23:51:01,71
91,396,238,Tandoori Chicken,2024-03-18 09:03:26,2024-03-18 10:01:26,Successful,220.4,3,"630, Varughese Ganj, Noida-292489",2024-03-18 09:32:26,241
92,115,258,Dal Makhani,2024-04-02 05:33:25,2024-04-02 06:15:25,Successful,404.38,4,"24/051
Jayaraman Circle, Karnal-396275",2024-04-02 06:07:25,91
93,386,12,Aloo Paratha,2024-09-01 22:36:06,2024-09-01 23:12:06,Successful,879.17,3,"H.No. 291, Iyengar Road, Amroha 340951",2024-09-01 23:07:06,127
94,64,153,Pav Bhaji,2024-07-10 11:28:41,2024-07-10 12:00:41,Successful,269.36,3,"H.No. 07
Kapoor Road, Navi Mumbai 551830",2024-07-10 12:00:41,329
95,125,93,Tandoori Chicken,2024-04-10 03:45:47,2024-04-10 05:10:47,Successful,791.37,2,"03/123
Kibe Circle, Kurnool-967305",2024-04-10 04:10:47,328
96,225,7,Tandoori Chicken,2024-01-15 08:30:25,2024-01-15 09:09:25,Cancelled,536.37,3,"H.No. 79
Dewan, Sambalpur-569223",2024-01-15 08:51:25,179
97,436,242,Tandoori Chicken,2024-09-02 10:52:52,2024-09-02 11:33:52,Successful,966.3,2,"363, Bath Street, Phusro-225318",2024-09-02 11:12:52,218
98,390,212,Aloo Paratha,2024-07-01 03:22:03,2024-07-01 05:17:03,Successful,459.09,4,"H.No. 31, Samra
Shimoga-372245",2024-07-01 03:54:03,79
99,159,182,Samosa,2024-08-08 15:40:07,2024-08-08 17:24:07,Successful,643.29,5,"09/232, Anne Ganj, Medininagar-102621",2024-08-08 16:07:07,297
100,499,71,Biryani,2024-08-23 18:48:57,2024-08-23 19:40:57,Successful,913.0,1,"H.No. 300, Wason Road
Loni-370233",2024-08-23 19:15:57,403
101,3,189,Biryani,2024-09-04 20:24:51,2024-09-04 21:52:51,Successful,490.22,1,"93, Ratta Circle, Jamnagar 511039",2024-09-04 20:58:51,269
102,408,218,Dal Makhani,2024-03-03 11:01:44,2024-03-03 12:57:44,Successful,180.17,3,"910, Bhalla Road
Panvel-835920",2024-03-03 11:27:44,8
