customer_id,customer_name,address,city,email,phone_number
1,Shlok Rajagopal,"H.No. 36
Boase Road, Siwan 552520",Mumbai,tgopal@gmail.com,+910056422150
2,Priyansh Bhattacharyya,"H.No. 90, Balay Nagar
Danapur 271287",Delhi,zsehgal@gmail.com,09101044637
3,Himmat Ramesh,"73
Thaman Ganj
Jamnagar-040415",Mumbai,pranaydhar@badal.com,+917424163988
4,Samiha Subramaniam,"238
Mander, Nagaon-126157",Ahmedabad,nirvi90@hotmail.com,9093460188
5,Miraan Bhatt,"05/55
Sandhu Road, Mahbubnagar 248594",Kolkata,neysa32@varghese.com,01569905742
6,Miraan Ramesh,"73/12
Tiwari
Coimbatore-243921",Bengaluru,kabir00@yahoo.com,03169632515
7,Yuvraj  Sarna,"90/24
Kapoor Marg, Bokaro-032535",Chennai,adah89@bera.info,+911076405288
8,Divyansh Shetty,"H.No. 01
Bose Circle
Jodhpur 009044",Surat,sbaria@tata.biz,+911773464433
9,Vanya Bath,"31, Doctor Circle
Raebareli-550106",Pune,ogarg@balakrishnan.info,01255464781
10,Hridaan Kapur,"366
Toor Nagar, Dhule 922235",Bengaluru,akarshbanerjee@suresh.biz,09471976879
11,Ayesha Dash,"70/72
Chawla Nagar
Rewa 247206",Kolkata,ikar@mani-goyal.info,+911164976803
12,Hunar Anand,"26, Korpal Road, Kavali 431822",Chennai,jayanyadav@yahoo.com,03430553091
13,Neysa Khalsa,"H.No. 39, Reddy Nagar
Surendranagar Dudhrej-658478",Surat,mohanlaldasgupta@yahoo.com,06362937377
14,Tara Maharaj,"126
Chana Street
Pondicherry 154962",Ahmedabad,dhawanriya@ray.biz,0856769070
15,Drishya Taneja,"H.No. 61
Thaman Zila
Muzaffarnagar-566904",Surat,asood@gmail.com,3379531625
16,Hazel Sibal,"86/46
Chaudhry Path, Asansol-759145",Chennai,dharmajanbajwa@yahoo.com,+914544998523
17,Dharmajan Chawla,"20
Rege Street
Gwalior-156441",Jaipur,ayesha56@yahoo.com,+910152558766
18,Shayak Ghosh,"678
Atwal Path
Bareilly 658877",Surat,keyadeo@gmail.com,2634879663
19,Purab Ghose,"H.No. 583
Ramanathan, Sambhal-813179",Kolkata,yuvraj-rajagopal@yadav-subramanian.com,+917752148548
20,Gokul Singhal,"027
Korpal Nagar
Unnao-068715",Hyderabad,keyabajaj@dhar.biz,00314720123
21,Indranil Sharma,"252
Manne
Medininagar 445115",Jaipur,priyansh93@gmail.com,+912288170180
22,Aaina Dave,"62/709
Bir Nagar, Erode 147542",Mumbai,pihu44@yahoo.com,4412544930
23,Taran Jhaveri,"58/65
Goyal Path, Dehradun-542050",Surat,saanviravel@chaudhuri.info,1202851564
24,Priyansh Taneja,"379
Baria Path
Muzaffarpur 571664",Chennai,madhup16@hotmail.com,5259205903
25,Nehmat Choudhry,"14/41, Bandi Ganj
Ramagundam 772871",Pune,rohan17@shere.org,3838569181
26,Taimur Venkataraman,"H.No. 865
Rau Zila
Jaipur 754937",Kolkata,gchadha@hotmail.com,02348263357
27,Shray Seshadri,"31/68, Kaul Ganj
Dharmavaram 555789",Jaipur,eshani00@dutt.com,+918149095233
28,Vardaniya Divan,"82/954
Wali Ganj, Jalna-019174",Surat,ygandhi@hotmail.com,3687152205
29,Anvi Sharaf,"H.No. 63, Chakraborty
Bhilai-896087",Mumbai,tkonda@bir-subramanian.com,04551055195
30,Prerak Kala,"H.No. 27, Kara Chowk, Khandwa 708750",Mumbai,fatehsampath@yadav.com,2395655739
31,Hunar Lall,"501, Kapoor Path
Ratlam-201703",Mumbai,ramachandranvaibhav@yahoo.com,+917058923336
32,Vidur Sankar,"42/841, Vig Chowk, Ambala 728949",Delhi,ryan49@yahoo.com,8864343487
33,Aniruddh Atwal,"51, Mallick
Shimoga 014669",Bengaluru,laganvora@gmail.com,01800318875
34,Gokul Bir,"H.No. 58
Datta Street, Bhavnagar 084569",Mumbai,ugour@gmail.com,02516435446
35,Dhanuk Amble,"71, Kothari Chowk
Varanasi-376208",Delhi,uvarkey@hotmail.com,8674151172
36,Lakshit Keer,"56
Shenoy, Ahmedabad 962621",Ahmedabad,anyabhasin@sarma-dalal.biz,05367742922
37,Keya Gokhale,"88/79
Sant, Nadiad 665863",Jaipur,yogianahi@sabharwal.info,07130351335
38,Bhamini Bera,"01, Banik Marg, Katni-314842",Ahmedabad,bobalindrajit@hotmail.com,2652191662
39,Kaira Ganesan,"85/582, Zacharia Circle
Pali 496956",Kolkata,prerakuppal@dyal.org,00911671119
40,Khushi Ghose,"91
Dave Street
Thane-438605",Surat,goswamivaibhav@brahmbhatt.com,+918747555077
41,Anya Luthra,"25/76, Tank Zila, Bhopal 743498",Kolkata,lakshay43@hotmail.com,04555138193
42,Zara Jaggi,"H.No. 733, Kala, Karawal Nagar 494503",Surat,gadenitara@sha.com,+913717330594
43,Indrans Maharaj,"023
Deep Street, Dhule 679574",Ahmedabad,banikfaiyaz@hotmail.com,7346726227
44,Mehul Gole,"H.No. 777
Dar Chowk
Bhopal-783677",Mumbai,ihayre@hotmail.com,3106160650
45,Vivaan Sood,"19/948, Dhillon Marg, Haldia 801419",Pune,shalvhari@hotmail.com,+911838639562
46,Ryan Khatri,"47/745
Agarwal, Proddatur-466644",Mumbai,ysani@yahoo.com,+910709277433
47,Dhanuk Tandon,"91
Dar Circle
Bhalswa Jahangir Pur-106796",Kolkata,veer04@hotmail.com,02542540400
48,Madhup Khalsa,"49
Dhawan Marg
Ramgarh-304288",Pune,bbassi@gmail.com,02060169111
49,Ojas Comar,"23/78, Edwin Path, Bijapur 559218",Kolkata,fde@yahoo.com,5927613615
